DOI,Institutions
10.1103/PhysRevB.100.115435,"Eotvos Lorand Univ,Univ Basel,Hungarian Acad Sci,Budapest Univ Technol & Econ"
10.1103/PRXQuantum.2.010341,"Univ Maryland,Virginia Tech"
10.1038/s41467-024-48557-x,"Univ New South Wales,Diraq,Swiss Fed Inst Technol,Keio Univ,Leibniz Inst Kristallzuchtung,Vitcon Projectconsult GmbH,Simon Fraser Univ"
10.1038/s41598-017-13308-0,"Australian Natl Univ,Univ Melbourne"
10.1038/ncomms12279,"Univ Stuttgart,Tech Univ Munich"
10.1038/s41928-019-0234-1,"Univ New South Wales,Univ Sydney,Keio Univ"
10.1103/PhysRevLett.129.040501,"Seoul Natl Univ,Pusan Natl Univ,Weizmann Inst Sci"
10.1103/PhysRevMaterials.6.086201,"Univ Sci & Technol China,Chongqing Univ Posts & Telecommun,Hefei Natl Lab"
10.1039/d2nh00375a,"Inst Basic Sci IBS,Ewha Womans Univ,Paul Scherrer Inst PSI"
10.1103/PhysRevA.99.042310,"Natl Taiwan Univ,Univ New South Wales"
10.1103/PhysRevB.92.125402,"Rhein Westfal TH Aachen,Harvard Univ,Weizmann Inst Sci"
10.1103/PhysRevA.90.042118,"Beijing Computat Sci Res Ctr,Univ Sci & Technol China,Tsinghua Univ"
10.1063/5.0048399,"Univ Chicago,Argonne Natl Lab"
10.1038/s41467-024-45583-7,"Forschungszentrum Julich GmbH,Rhein Westfal TH Aachen,ARQUE Syst GmbH,Forschungszentrum Julich,Polish Acad Sci"
10.1103/PhysRevA.103.052421,"Tokyo Int Univ,Istanbul Univ,Tokyo Inst Technol,Univ Tokyo"
10.1109/JSSC.2022.3174605,"Ecole Polytech Fed Lausanne EPFL,IBM Res Zurich,Hitachi Cambridge Lab,Univ Cambridge,Quantum Mot Technol"
10.1038/s41467-022-28519-x,"Univ Rochester,HRL Labs LLC"
10.1103/PhysRevA.96.042337,"Sharif Univ Technol,Aarhus Univ"
10.1103/PhysRevApplied.16.064008,"Norwegian Univ Sci & Technol,Univ Autonoma Madrid"
10.1038/s41598-018-26633-9,"Humboldt Univ,ETH"
10.1088/1674-1056/ad3812,"Univ Sci & Technol China,Chinese Acad Sci,Beijing Superstring Acad Memory Technol,Origin Quantum Comp Co Ltd"
10.1103/PhysRevB.93.085420,"Univ Maryland,Virginia Tech"
10.1103/PhysRevA.90.032319,"Chinese Univ Hong Kong,Univ Stuttgart,Beijing Computat Sci Res Ctr"
10.1103/PhysRevB.110.125414,"Univ New South Wales,Keio Univ,Leibniz Inst Kristallzuchtung,Vitcon Projectconsult GmbH,Simon Fraser Univ"
10.1103/PhysRevA.106.022608,"Tsinghua Univ,Hefei Natl Lab,HYQ Co Ltd"
10.1002/adma.202201625,"Univ New South Wales,UNSW,Southern Univ Sci & Technol"
10.1103/PhysRevLett.110.160402,"Univ Cambridge,CNR,LENS,Univ Bonn"
10.1103/PhysRevB.96.045302,"Univ New South Wales,Delft Univ Technol,Univ Twente"
10.1038/s41524-021-00525-5,"Univ Calif Santa Cruz,Lawrence Livermore Natl Lab"
10.1103/PhysRevB.92.224419,"Cornell Univ,Purdue Univ"
10.1109/JETCAS.2022.3201980,"IMEC,Katholieke Univ Leuven"
10.1016/j.xcrp.2023.101693,"Univ Chicago,Westlake Univ,Westlake Inst Adv Study,Argonne Natl Lab,Arizona State Univ"
10.1103/PhysRevB.91.245416,"UCL,Chinese Univ Hong Kong"
10.1103/PhysRevLett.132.263602,"Harvard Univ,MIT,Tech Univ Carolo Wilhelmina Braunschweig,Univ Leipzig,AWS Ctr Quantum Comp,IAV GmbH,Northrop Grumman Mission Syst"
10.1038/ncomms4895,"Univ Stuttgart,Stuttgart Res Ctr Photon Engn SCoPE,Beijing Computat Sci Res Ctr,Inst Appl Phys & Computat Math,Univ Sci & Technol China,Ruhr Univ Bochum"
10.1063/1.5088412,"Forschungszentrum Julich,Rhein Westfal TH Aachen,Ruhr Univ"
10.1021/acs.nanolett.2c04552,"Univ Maryland,Naval Res Lab"
10.1038/s41534-021-00386-2,"Univ New South Wales,Univ British Columbia"
10.1103/PhysRevApplied.13.034068,"Forschungszentrum Julich,Rhein Westfal TH Aachen,Univ Regensburg,Tokyo City Univ,Leibniz Inst Kristallzuchtung IKZ"
10.1103/PhysRevLett.110.067601,"Harvard Univ,Harvard Smithsonian Ctr Astrophys"
10.1103/PhysRevLett.110.057601,"Univ Calif Berkeley,Natl High Magnet Field Lab"
10.1021/acsami.2c17395,"Leibniz Inst Kristallzuchtung,Leibniz Inst Innovat Mikroelekt,European Synchrotron Radiat Facil,Delft Univ Technol,QuTech & Netherlands Org Appl Sci Res TNO,Univ Pisa,Univ Roma Tre"
10.1039/d2dt01564a,"Adam Mickiewicz Univ,Univ Catania,State Univ New York SUNY Maritime Coll,Univ Wroclaw,Univ Buenos Aires,Univ Rzeszow"
10.1103/PRXQuantum.2.020320,"Southern Univ Sci & Technol,Univ Sci & Technol China,Peking Univ,Collaborat Innovat Ctr Quantum Matter"
10.1103/PhysRevLett.133.146902,"Univ Washington,Pacific Northwest Natl Lab,Univ Oslo"
10.1038/NNANO.2013.7,"CSIC,Natl Res Council Canada,Univ Sherbrooke"
10.1103/PRXQuantum.4.020305,"Forschungszentrum Julich,Rhein Westfal TH Aachen,Polish Acad Sci"
10.1038/s41467-022-32236-w,"Harvard Univ,Purdue Univ,Univ Sydney,Stanford Univ"
10.1103/PhysRevB.97.245412,"Delft Univ Technol,Kavli Inst Nanosci,Univ New South Wales,UNSW Node"
10.1038/s41467-023-36951-w,"QuTech,Delft Univ Technol,Netherlands Org Appl Sci Res TNO,CSIC,BIST,ICREA"
10.1103/PhysRevB.93.075301,"RIKEN,Univ Basel"
10.1038/s41467-021-22416-5,"Univ Rochester,Purdue Univ"
10.1103/PhysRevB.83.235316,"Univ Sydney,Harvard Univ"
10.1038/s41467-023-39334-3,"Delft Univ Technol,QuTech,Netherlands Org Appl Sci Res TNO,QuSoft,CWI"
10.1038/NPHYS2688,"Univ Basel,Ruhr Univ Bochum,Univ Paderborn"
10.1103/PhysRevA.110.052408,"Virginia Tech,Virginia Tech Ctr Quantum Informat Sci & Engn,Univ New South Wales,Univ Wisconsin Madison,Okinawa Inst Sci & Technol Grad Univ"
10.1038/NPHYS3470,"Tech Univ Munich,Los Alamos Natl Lab,Stanford Univ"
10.1103/PhysRevB.92.201401,"Univ New S Wales,Lab Phys Sci,Univ Iowa,Keio Univ"
10.1021/acs.inorgchem.1c01474,"Univ Tennessee,Univ Valencia,Natl High Magnet Field Lab"
10.1038/s41534-024-00910-0,"Delft Univ Technol,Univ Geneva,Constructor Univ Bremen GmbH"
10.1126/science.aar4054,"Delft Univ Technol,QuTech,Netherlands Org Appl Sci Res TNO,Univ Sherbrooke,Canadian Inst Adv Res"
10.1126/science.aat3581,"Univ Maryland,NIST"
10.1103/PRXQuantum.5.020353,"Univ Basel,Delft Univ Technol"
10.1038/ncomms11059,"Lab Phys Sci,Univ Maryland"
10.1038/s41467-023-41632-9,"Univ Chicago,Univ Calif Davis,Argonne Natl Lab"
10.1007/s11128-015-0985-1,"Univ Waterloo,Osaka City Univ,Perimeter Inst Theoret Phys,Canadian Inst Adv Res"
10.1021/acs.nanolett.2c04446,"Delft Univ Technol,QuTech,Netherlands Org Appl Sci Res TNO"
10.1038/s41467-023-36031-z,"Argonne Natl Lab,Northwestern Univ,Boston Univ,Arizona State Univ,Univ Chicago"
10.1103/PhysRevB.92.195411,"NIST,Univ Maryland"
10.1021/acsphotonics.1c01775,"RMIT Univ,Heriot Watt Univ,Univ Calif Davis,Tech Univ Denmark,Univ Stuttgart"
10.1103/PhysRevApplied.14.054015,"Univ Calif Los Angeles,HRL Labs LLC"
10.1038/s41467-022-35510-z,"Univ Wisconsin,Univ New South Wales"
10.1038/s41467-020-14560-1,"Univ Cambridge,Natl Phys Lab,Delft Univ Technol,LS Instruments AG,Univ New South Wales,Mokpo Natl Univ,Univ Politecn Madrid,Univ Calif San Francisco,Univ Sheffield"
10.1038/s41467-019-11160-6,"Univ Sheffield,Tech Univ Munich,Univ Cambridge"
10.22331/q-2018-05-28-70,"Univ Basel,Univ Wisconsin Madison,RIKEN"
10.1038/nphys2149,"Natl Res Council Canada,Univ Sherbrooke"
10.1021/acs.jpclett.7b01376,"Univ Valencia,Trinity Coll Dublin"
10.1103/PhysRevApplied.16.034031,"Univ Grenoble Alpes,CEA"
10.1126/sciadv.1500707,"Univ Melbourne,Univ New South Wales"
10.1063/5.0217987,"Univ Nebraska,Univ Latvia"
10.1007/s10701-013-9735-3,"Univ Waterloo,Univ Queensland"
10.1088/0253-6102/53/6/07,"Changshu Inst Technol,Suzhou Univ"
10.1021/acs.nanolett.2c01561,"Argonne Natl Lab,Univ Chicago"
10.1103/PhysRevB.106.115439,"Univ Toulon & Var,Univ Grenoble Alpes,CNRS"
10.1103/PhysRevX.5.011009,"Technion Israel Inst Technol,Nicolaus Copernicus Univ"
10.1103/PhysRevLett.129.066801,"Univ Basel,Ecole Polytech Fed Lausanne"
10.1103/PhysRevB.98.195307,"NIST,Univ Maryland,Southern Univ Sci & Technol"
10.1021/jacs.0c08986,"Northwestern Univ,Univ Chicago,Univ Calif Santa Barbara,Argonne Natl Lab"
10.1002/qute.202000011,"Univ British Columbia,Univ Tokyo"
10.1038/s41467-024-49175-3,"Purdue Univ,Washington Univ,Sandia Natl Labs"
10.1103/PhysRevB.100.075433,"Ist Italiano Tecnol,Univ Genoa,Scuola Normale Super Pisa,Univ Florence,Ist Nazl Fis Nucl,Bedimens Spa"
10.1038/s41534-020-00308-8,"Univ Calif San Diego,Colorado State Univ"
10.1038/s42005-020-00405-2,"Univ Basel,CNR,Scuola Normale Super Pisa"
